N    Z    A    Elt.   Mass                        
 21   23   44 V      43974440.977       7.799
 20   24   44 Cr     43985591.000      55.000
 19   25   44 Mn     44008009#        322#
 31   14   45 Si     45039818#        644#
 30   15   45 P      45017134#        537#
 29   16   45 S      44996414#        322#
 28   17   45 Cl     44980394.353     146.177
 27   18   45 Ar     44968039.731       0.550
 26   19   45 K      44960691.491       0.560
 25   20   45 Ca     44956186.270       0.392
 24   21   45 Sc     44955907.051       0.712
 23   22   45 Ti     44958120.758       0.897
 22   23   45 V      44965768.498       0.926
 21   24   45 Cr     44979050.000      38.000
 20   25   45 Mn     44994654#        322#
 19   26   45 Fe     45015467#        304#
 31   15   46 P      46024520#        537#
 30   16   46 S      46000687#        429#
 29   17   46 Cl     45985254.926     104.400
 28   18   46 Ar     45968039.244       2.500
 27   19   46 K      45961981.584       0.780
 26   20   46 Ca     45953687.726       2.398
 25   21   46 Sc     45955167.034       0.720
 24   22   46 Ti     45952626.356       0.097
 23   23   46 V      45960197.389       0.143
 22   24   46 Cr     45968360.969      12.295
 21   25   46 Mn     45986669.000      93.000
 20   26   46 Fe     46001299#        322#
 32   15   47 P      47030929#        644#
 31   16   47 S      47007730#        429#
 30   17   47 Cl     46989715#        215#
 29   18   47 Ar     46972767.112       1.300
 28   19   47 K      46961661.612       1.500
 27   20   47 Ca     46954541.134       2.384
 26   21   47 Sc     46952402.444       2.072
 25   22   47 Ti     46951757.491       0.085
 24   23   47 V      46954903.558       0.118
 23   24   47 Cr     46962894.995       5.578
 22   25   47 Mn     46975774.000      34.000
 21   26   47 Fe     46992346#        537#
 20   27   47 Co     47011401#        644#
 32   16   48 S      48013301#        537#
 31   17   48 Cl     47995405#        537#
 30   18   48 Ar     47976001.000      18.000
 29   19   48 K      47965341.184       0.830
 28   20   48 Ca     47952522.654       0.018
 27   21   48 Sc     47952222.903       5.313
 26   22   48 Ti     47947940.677       0.079
 25   23   48 V      47952250.900       1.043
 24   24   48 Cr     47954029.431       7.848
 23   25   48 Mn     47968548.760       7.191
 22   26   48 Fe     47980667.000      99.000
 21   27   48 Co     48001857#        537#
 20   28   48 Ni     48019515#        455#
 33   16   49 S      49021891#        626#
 32   17   49 Cl     49000794#        429#
 31   18   49 Ar     48981685#        429#
 30   19   49 K      48968210.753       0.860
 29   20   49 Ca     48955662.625       0.190
 28   21   49 Sc     48950013.159       2.434
 27   22   49 Ti     48947864.391       0.084
 26   23   49 V      48948510.509       0.884
 25   24   49 Cr     48951333.720       2.363
 24   25   49 Mn     48959613.350       2.377
 23   26   49 Fe     48973429.000      26.000
 22   27   49 Co     48989501#        537#
 21   28   49 Ni     49009157#        644#
 33   17   50 Cl     50008266#        429#
 32   18   50 Ar     49985797#        537#
 31   19   50 K      49972380.015       8.300
 30   20   50 Ca     49957499.215       1.700
 29   21   50 Sc     49952187.437       2.700
 28   22   50 Ti     49944785.622       0.088
 27   23   50 V      49947156.681       0.099
 26   24   50 Cr     49946042.209       0.100
 25   25   50 Mn     49954238.157       0.123
 24   26   50 Fe     49962988.000       9.000
 23   27   50 Co     49981117.000     135.000
 22   28   50 Ni     49996286#        537#
 34   17   51 Cl     51015341#        751#
 33   18   51 Ar     50993033#        429#
 32   19   51 K      50975828.664      14.000
 31   20   51 Ca     50960995.663       0.560
 30   21   51 Sc     50953568.838       2.700
 29   22   51 Ti     50946609.468       0.519
 28   23   51 V      50943957.664       0.104
 27   24   51 Cr     50944765.388       0.178
 26   25   51 Mn     50948208.770       0.326
 25   26   51 Fe     50956855.137       1.501
 24   27   51 Co     50970647.000      52.000
 23   28   51 Ni     50987493#        537#
 35   17   52 Cl     52024004#        751#
 34   18   52 Ar     51998519#        644#
 33   19   52 K      51981602.000      36.000
 32   20   52 Ca     51963213.646       0.720
 31   21   52 Sc     51956496.170       3.300
 30   22   52 Ti     51946883.509       2.948
 29   23   52 V      51944773.636       0.170
 28   24   52 Cr     51940504.714       0.120
 27   25   52 Mn     51945559.090       0.138
 26   26   52 Fe     51948113.364       0.192
 25   27   52 Co     51963130.224       5.669
 24   28   52 Ni     51975781.000      89.000
 23   29   52 Cu     51997982#        644#
 35   18   53 Ar     53007290#        750#
 34   19   53 K      52986800.000     120.000
 33   20   53 Ca     52968451.000      47.000
 32   21   53 Sc     52958379.173      19.000
 31   22   53 Ti     52949670.714       3.100
 30   23   53 V      52944334.940       3.331
 29   24   53 Cr     52940646.304       0.124
 28   25   53 Mn     52941287.497       0.371
 27   26   53 Fe     52945305.629       1.792
 26   27   53 Co     52954203.278       1.854
 25   28   53 Ni     52968190.000      27.000
 24   29   53 Cu     52985894#        537#
 36   18   54 Ar     54013484#        859#
 35   19   54 K      53994471#        429#
 34   20   54 Ca     53972989.000      52.000
 33   21   54 Sc     53963029.359      15.000
 32   22   54 Ti     53950892.000      17.000
 31   23   54 V      53946432.009      12.001
 30   24   54 Cr     53938877.359       0.142
