N    Z    A    Elt.   Mass                        
 74   43  117 Tc    116948320#        429#
 73   44  117 Ru    116936135.000     465.000
 72   45  117 Rh    116926036.291       9.548
 71   46  117 Pd    116917955.584       7.788
 70   47  117 Ag    116911774.086      14.570
 69   48  117 Cd    116907226.039       1.087
 68   49  117 In    116904515.729       5.239
 67   50  117 Sn    116902954.036       0.518
 66   51  117 Sb    116904841.519       9.057
 65   52  117 Te    116908646.227      14.444
 64   53  117 I     116913645.649      27.437
 63   54  117 Xe    116920358.758      11.141
 62   55  117 Cs    116928616.723      67.000
 61   56  117 Ba    116938316.403     268.749
 60   57  117 La    116950326#        215#
 76   42  118 Mo    117965249#        537#
 75   43  118 Tc    117953526#        429#
 74   44  118 Ru    117938808#        215#
 73   45  118 Rh    117930341.116      26.018
 72   46  118 Pd    117919067.273       2.677
 71   47  118 Ag    117914595.484       2.700
 70   48  118 Cd    117906921.956      21.471
 69   49  118 In    117906356.705       8.322
 68   50  118 Sn    117901606.630       0.536
 67   51  118 Sb    117905532.194       3.237
 66   52  118 Te    117905860.104      19.652
 65   53  118 I     117913074.000      21.213
 64   54  118 Xe    117916178.678      11.141
 63   55  118 Cs    117926559.517      13.690
 62   56  118 Ba    117933226#        215#
 61   57  118 La    117946731#        322#
 77   42  119 Mo    118971465#        322#
 76   43  119 Tc    118956876#        537#
 75   44  119 Ru    118944090#        322#
 74   45  119 Rh    118932556.951      10.000
 73   46  119 Pd    118923341.138       8.854
 72   47  119 Ag    118915570.309      15.783
 71   48  119 Cd    118909847.052      40.467
 70   49  119 In    118905851.622       7.847
 69   50  119 Sn    118903311.266       0.778
 68   51  119 Sb    118903944.062       7.512
 67   52  119 Te    118906405.699       7.813
 66   53  119 I     118910060.910      23.302
 65   54  119 Xe    118915410.641      11.141
 64   55  119 Cs    118922377.327      14.965
 63   56  119 Ba    118930659.683     214.997
 62   57  119 La    118940934#        322#
 61   58  119 Ce    118952957#        537#
 77   43  120 Tc    119962426#        537#
 76   44  120 Ru    119946623#        429#
 75   45  120 Rh    119937069#        215#
 74   46  120 Pd    119924551.745       2.464
 73   47  120 Ag    119918784.765       4.800
 72   48  120 Cd    119909868.065       4.000
 71   49  120 In    119907967.489      42.953
 70   50  120 Sn    119902202.557       0.987
 69   51  120 Sb    119905080.308       7.728
 68   52  120 Te    119904065.779       1.880
 67   53  120 I     119910093.729      16.212
 66   54  120 Xe    119911784.267      12.686
 65   55  120 Cs    119920677.277      10.702
 64   56  120 Ba    119926044.997     322.241
 63   57  120 La    119938196#        322#
 62   58  120 Ce    119946613#        537#
 78   43  121 Tc    120966140#        537#
 77   44  121 Ru    120952098#        429#
 76   45  121 Rh    120939613.000     665.000
 75   46  121 Pd    120928950.342       3.600
 74   47  121 Ag    120920125.279      13.000
 73   48  121 Cd    120912963.660       2.085
 72   49  121 In    120907852.778      29.435
 71   50  121 Sn    120904243.488       1.050
 70   51  121 Sb    120903811.353       2.690
 69   52  121 Te    120904945.065      27.734
 68   53  121 I     120907411.492       5.070
 67   54  121 Xe    120911453.012      10.995
 66   55  121 Cs    120917227.235      15.340
 65   56  121 Ba    120924052.286     152.333
 64   57  121 La    120933236#        322#
 63   58  121 Ce    120943435#        430#
 62   59  121 Pr    120955393#        537#
 79   43  122 Tc    121971760#        322#
 78   44  122 Ru    121955147#        537#
 77   45  122 Rh    121944305#        322#
 76   46  122 Pd    121930631.693      21.000
 75   47  122 Ag    121923664.446      41.000
 74   48  122 Cd    121913459.050       2.468
 73   49  122 In    121910282.458      53.741
 72   50  122 Sn    121903445.494       2.627
 71   51  122 Sb    121905169.335       2.687
 70   52  122 Te    121903044.708       1.456
 69   53  122 I     121907590.094       5.561
 68   54  122 Xe    121908367.655      11.928
 67   55  122 Cs    121916108.144      36.164
 66   56  122 Ba    121919904.000      30.000
 65   57  122 La    121930710#        320#
 64   58  122 Ce    121937870#        430#
 63   59  122 Pr    121951927#        537#
 79   44  123 Ru    122960762#        537#
 78   45  123 Rh    122947192#        429#
 77   46  123 Pd    122935126.000     847.500
 76   47  123 Ag    122925315.060      35.000
 75   48  123 Cd    122916892.460       2.894
 74   49  123 In    122910435.252      21.290
 73   50  123 Sn    122905727.065       2.661
 72   51  123 Sb    122904215.292       1.456
 71   52  123 Te    122904271.022       1.454
 70   53  123 I     122905589.753       3.956
 69   54  123 Xe    122908482.235      10.234
 68   55  123 Cs    122912996.060      13.000
 67   56  123 Ba    122918781.060      13.000
 66   57  123 La    122926300#        210#
 65   58  123 Ce    122935280#        320#
 64   59  123 Pr    122946076#        429#
 80   44  124 Ru    123963940#        644#
 79   45  124 Rh    123952002#        429#
 78   46  124 Pd    123937305#        322#
 77   47  124 Ag    123928899.227     270.000
 76   48  124 Cd    123917659.772       2.800
 75   49  124 In    123913184.873      32.808
 74   50  124 Sn    123905279.619       1.410
 73   51  124 Sb    123905937.065       1.457
 72   52  124 Te    123902818.341       1.451
 71   53  124 I     123906210.297       2.467
 70   54  124 Xe    123905885.174       1.457
 69   55  124 Cs    123912247.366       9.823
 68   56  124 Ba    123915093.627      13.416
 67   57  124 La    123924574.275      60.836
 66   58  124 Ce    123930310#        320#
 65   59  124 Pr    123942940#        430#
 64   60  124 Nd    123951873#        537#
 81   44  125 Ru    124969544#        322#
 80   45  125 Rh    124955094#        537#
 79   46  125 Pd    124942072#        429#
 78   47  125 Ag    124930735.000     465.000
 77   48  125 Cd    124921257.590       3.100
 76   49  125 In    124913673.841       1.900
 75   50  125 Sn    124907789.370       1.426
 74   51  125 Sb    124905254.264       2.700
 73   52  125 Te    124904431.178       1.451
 72   53  125 I     124904630.610       1.452
 71   54  125 Xe    124906387.640       1.518
 70   55  125 Cs    124909725.953       8.304
 69   56  125 Ba    124914471.840      11.800
 68   57  125 La    124920815.931      27.909
 67   58  125 Ce    124928440#        210#
 66   59  125 Pr    124937659#        322#
 65   60  125 Nd    124948395#        429#
 81   45  126 Rh    125960064#        537#
 80   46  126 Pd    125944401#        429#
 79   47  126 Ag    125934814#        215#
 78   48  126 Cd    125922430.290       2.473
 77   49  126 In    125916468.202       4.500
 76   50  126 Sn    125907658.958      11.473
 75   51  126 Sb    125907253.158      34.189
 74   52  126 Te    125903312.144       1.453
 73   53  126 I     125905624.205       4.055
 72   54  126 Xe    125904297.422       0.006
 71   55  126 Cs    125909445.821      11.120
 70   56  126 Ba    125911250.202      13.416
 69   57  126 La    125919512.667      97.163
 68   58  126 Ce    125923971.000      30.000
 67   59  126 Pr    125935240#        210#
 66   60  126 Nd    125942694#        322#
 65   61  126 Pm    125957327#        537#
 82   45  127 Rh    126963789#        644#
 81   46  127 Pd    126949307#        537#
 80   47  127 Ag    126937037#        215#
 79   48  127 Cd    126926203.291       6.656
 78   49  127 In    126917466.040      10.736
 77   50  127 Sn    126910391.726       9.904
 76   51  127 Sb    126906925.557       5.457
 75   52  127 Te    126905226.993       1.465
 74   53  127 I     126904472.592       3.887
 73   54  127 Xe    126905183.636       4.388
 72   55  127 Cs    126907417.527       5.987
 71   56  127 Ba    126911091.272      12.192
 70   57  127 La    126916375.083      27.912
 69   58  127 Ce    126922727.000      31.000
 68   59  127 Pr    126930710#        210#
 67   60  127 Nd    126939978#        322#
 66   61  127 Pm    126951358#        429#
 83   45  128 Rh    127970649#        322#
 82   46  128 Pd    127952345#        537#
 81   47  128 Ag    127941266#        322#
 80   48  128 Cd    127927816.778       6.905
 79   49  128 In    127920353.637       1.419
 78   50  128 Sn    127910507.828      18.982
 77   51  128 Sb    127909146.121      20.169
 76   52  128 Te    127904461.237       0.758
 75   53  128 I     127905809.355       3.887
 74   54  128 Xe    127903530.75341     0.00558
 73   55  128 Cs    127907748.452       5.771
 72   56  128 Ba    127908352.446       1.728
 71   57  128 La    127915592.123      58.452
 70   58  128 Ce    127918911.000      30.000
 69   59  128 Pr    127928791.000      32.000
 68   60  128 Nd    127935018#        215#
 67   61  128 Pm    127948234#        322#
 66   62  128 Sm    127957971#        537#
 83   46  129 Pd    128959334#        644#
 82   47  129 Ag    128944315#        429#
 81   48  129 Cd    128932235.597       5.700
 80   49  129 In    128921808.534       2.116
 79   50  129 Sn    128913482.440      18.540
 78   51  129 Sb    128909146.623      22.786
 77   52  129 Te    128906596.419       0.763
 76   53  129 I     128904983.643       3.385
 75   54  129 Xe    128904780.85742     0.00542
 74   55  129 Cs    128906065.910       4.888
 73   56  129 Ba    128908683.409      11.276
 72   57  129 La    128912695.592      22.913
 71   58  129 Ce    128918102.000      30.000
 70   59  129 Pr    128925095.000      32.000
 69   60  129 Nd    128933038#        217#
 68   61  129 Pm    128942909#        322#
 67   62  129 Sm    128954557#        537#
 84   46  130 Pd    129964863#        322#
 83   47  130 Ag    129950727#        455#
 82   48  130 Cd    129934387.563      24.000
 81   49  130 In    129924952.257       1.921
 80   50  130 Sn    129913974.531       2.010
 79   51  130 Sb    129911662.686      15.257
 78   52  130 Te    129906222.745       0.011
 77   53  130 I     129906670.168       3.385
 76   54  130 Xe    129903509.346       0.010
 75   55  130 Cs    129906709.281       8.971
 74   56  130 Ba    129906326.002       0.308
 73   57  130 La    129912369.413      27.854
 72   58  130 Ce    129914736.000      30.000
 71   59  130 Pr    129923590.000      69.000
 70   60  130 Nd    129928506.000      30.000
 69   61  130 Pm    129940451#        215#
 68   62  130 Sm    129948792#        429#
 67   63  130 Eu    129964022#        578#
 85   46  131 Pd    130972367#        322#
 84   47  131 Ag    130956253#        537#
 83   48  131 Cd    130940727.740      20.653
 82   49  131 In    130926972.839       2.367
 81   50  131 Sn    130917053.067       3.887
 80   51  131 Sb    130911989.339       2.236
 79   52  131 Te    130908522.210       0.065
 78   53  131 I     130906126.375       0.649
 77   54  131 Xe    130905084.12808     0.00549
 76   55  131 Cs    130905468.457       0.190
 75   56  131 Ba    130906946.315       0.445
 74   57  131 La    130910070.000      30.000
 73   58  131 Ce    130914429.465      35.214
 72   59  131 Pr    130920234.960      50.451
 71   60  131 Nd    130927248.020      29.541
 70   61  131 Pm    130935834#        215#
 69   62  131 Sm    130946022#        429#
 68   63  131 Eu    130957634#        429#
 85   47  132 Ag    131963070#        537#
 84   48  132 Cd    131945823.136      64.485
 83   49  132 In    131932998.444      64.447
 82   50  132 Sn    131917823.898       2.121
 81   51  132 Sb    131914508.013       2.648
 80   52  132 Te    131908546.713       3.742
 79   53  132 I     131907993.511       4.364
 78   54  132 Xe    131904155.08346     0.00544
 77   55  132 Cs    131906437.740       1.112
 76   56  132 Ba    131905061.231       1.130
 75   57  132 La    131910119.047      39.032
 74   58  132 Ce    131911466.226      21.907
 73   59  132 Pr    131919240.000      31.000
 72   60  132 Nd    131923321.237      25.985
 71   61  132 Pm    131933840#        160#
 70   62  132 Sm    131940805#        322#
 69   63  132 Eu    131954696#        429#
 86   47  133 Ag    132968781#        537#
 85   48  133 Cd    132952614#        215#
 84   49  133 In    132938067#        215#
 83   50  133 Sn    132923913.753       2.043
 82   51  133 Sb    132915272.128       3.357
 81   52  133 Te    132910963.330       2.218
 80   53  133 I     132907828.400       6.335
 79   54  133 Xe    132905910.748       2.576
 78   55  133 Cs    132905451.958       0.008
 77   56  133 Ba    132906007.443       1.065
 76   57  133 La    132908218.000      30.000
 75   58  133 Ce    132911520.402      17.557
 74   59  133 Pr    132916330.558      13.416
 73   60  133 Nd    132922348.000      50.000
 72   61  133 Pm    132929782.000      54.000
 71   62  133 Sm    132938560#        320#
 70   63  133 Eu    132949290#        320#
 69   64  133 Gd    132961288#        537#
 86   48  134 Cd    133957638#        322#
 85   49  134 In    133944208#        215#
 84   50  134 Sn    133928680.430       3.400
 83   51  134 Sb    133920537.334       3.300
 82   52  134 Te    133911396.376       2.948
 81   53  134 I     133909775.660       5.213
 80   54  134 Xe    133905393.030       0.006
 79   55  134 Cs    133906718.501       0.017
 78   56  134 Ba    133904508.249       0.269
 77   57  134 La    133908514.011      21.395
 76   58  134 Ce    133908928.142      21.886
 75   59  134 Pr    133915696.729      21.810
 74   60  134 Nd    133918790.207      12.686
 73   61  134 Pm    133928326.000      45.000
 72   62  134 Sm    133934110#        210#
 71   63  134 Eu    133946537#        322#
 70   64  134 Gd    133955416#        429#
 87   48  135 Cd    134964766#        429#
 86   49  135 In    134949425#        322#
 85   50  135 Sn    134934908.603       3.300
 84   51  135 Sb    134925184.354       2.834
 83   52  135 Te    134916554.715       1.848
 82   53  135 I     134910059.355       2.211
 81   54  135 Xe    134907231.441       3.938
 80   55  135 Cs    134905976.907       0.390
 79   56  135 Ba    134905688.447       0.263
 78   57  135 La    134906984.427      10.126
 77   58  135 Ce    134909160.662      11.021
 76   59  135 Pr    134913111.772      12.686
 75   60  135 Nd    134918181.318      20.534
 74   61  135 Pm    134924785.000      89.000
 73   62  135 Sm    134932520.000     166.000
 72   63  135 Eu    134941870#        210#
 71   64  135 Gd    134952496#        429#
 70   65  135 Tb    134964516#        429#
 87   49  136 In    135956017#        322#
 86   50  136 Sn    135939699#        215#
 85   51  136 Sb    135930749.009       6.258
 84   52  136 Te    135920101.180       2.448
 83   53  136 I     135914604.693      15.231
 82   54  136 Xe    135907214.474       0.007
 81   55  136 Cs    135907311.431       2.010
 80   56  136 Ba    135904575.800       0.262
 79   57  136 La    135907634.962      57.081
 78   58  136 Ce    135907129.256       0.348
 77   59  136 Pr    135912677.470      12.296
 76   60  136 Nd    135914976.061      12.686
 75   61  136 Pm    135923595.949      74.152
 74   62  136 Sm    135928275.553      13.416
 73   63  136 Eu    135939620#        210#
 72   64  136 Gd    135947300#        320#
 71   65  136 Tb    135961460#        537#
 88   49  137 In    136961535#        429#
 87   50  137 Sn    136946162#        322#
 86   51  137 Sb    136935522.519      56.000
 85   52  137 Te    136925599.354       2.254
 84   53  137 I     136918028.178       9.000
 83   54  137 Xe    136911557.771       0.111
 82   55  137 Cs    136907089.296       0.324
 81   56  137 Ba    136905827.207       0.266
 80   57  137 La    136906450.438       1.760
 79   58  137 Ce    136907762.416       0.386
 78   59  137 Pr    136910679.183       8.733
 77   60  137 Nd    136914563.099      12.586
 76   61  137 Pm    136920479.519      14.000
 75   62  137 Sm    136927007.959      30.718
 74   63  137 Eu    136935430.719       4.700
 73   64  137 Gd    136945020#        320#
 72   65  137 Tb    136956020#        430#
 88   50  138 Sn    137951143#        429#
 87   51  138 Sb    137941331#        322#
 86   52  138 Te    137929472.452       4.065
 85   53  138 I     137922726.392       6.400
 84   54  138 Xe    137914146.268       3.010
 83   55  138 Cs    137911017.119       9.831
 82   56  138 Ba    137905247.059       0.267
 81   57  138 La    137907124.041       0.446
 80   58  138 Ce    137905994.180       0.536
 79   59  138 Pr    137910757.495      10.748
 78   60  138 Nd    137911950.938      12.456
 77   61  138 Pm    137919576.119      12.456
 76   62  138 Sm    137923243.988      12.686
 75   63  138 Eu    137933709.000      30.000
 74   64  138 Gd    137940247#        215#
 73   65  138 Tb    137953193#        322#
 72   66  138 Dy    137962500#        540#
 89   50  139 Sn    138957799#        429#
 88   51  139 Sb    138946269#        429#
 87   52  139 Te    138935367.191       3.800
 86   53  139 I     138926493.400       4.300
 85   54  139 Xe    138918792.200       2.300
 84   55  139 Cs    138913363.822       3.364
 83   56  139 Ba    138908841.164       0.271
 82   57  139 La    138906362.927       0.651
 81   58  139 Ce    138906647.029       2.242
 80   59  139 Pr    138908932.700       3.917
 79   60  139 Nd    138911951.208      29.545
 78   61  139 Pm    138916799.228      14.587
 77   62  139 Sm    138922296.631      11.684
 76   63  139 Eu    138929792.307      14.117
 75   64  139 Gd    138938130#        210#
 74   65  139 Tb    138948330#        320#
 73   66  139 Dy    138959527#        537#
 90   50  140 Sn    139962973#        322#
 89   51  140 Sb    139952345#        644#
 88   52  140 Te    139939487.057      15.434
 87   53  140 I     139931715.914      13.000
 86   54  140 Xe    139921645.814       2.500
 85   55  140 Cs    139917283.707       8.801
 84   56  140 Ba    139910608.231       8.480
 83   57  140 La    139909487.285       0.651
 82   58  140 Ce    139905448.433       1.409
 81   59  140 Pr    139909085.600       6.593
 80   60  140 Nd    139909546.130       3.500
 79   61  140 Pm    139916035.918      26.001
 78   62  140 Sm    139918994.714      13.416
 77   63  140 Eu    139928087.633      55.328
 76   64  140 Gd    139933674.000      30.000
 75   65  140 Tb    139945805.048     859.359
 74   66  140 Dy    139954020#        430#
 73   67  140 Ho    139968526#        537#
 90   51  141 Sb    140957552#        537#
 89   52  141 Te    140945604#        429#
 88   53  141 I     140935666.081      17.000
 87   54  141 Xe    140926787.181       3.100
 86   55  141 Cs    140920045.279       9.871
 85   56  141 Ba    140914403.653       5.709
 84   57  141 La    140910971.155       4.430
 83   58  141 Ce    140908285.991       1.411
 82   59  141 Pr    140907659.604       1.607
 81   60  141 Nd    140909616.690       3.417
 80   61  141 Pm    140913555.081      15.000
 79   62  141 Sm    140918481.545       9.162
 78   63  141 Eu    140924931.734      13.568
 77   64  141 Gd    140932126.000      21.213
 76   65  141 Tb    140941448.000     113.000
 75   66  141 Dy    140951280#        320#
 74   67  141 Ho    140963108#        430#
 91   51  142 Sb    141963918#        322#
 90   52  142 Te    141950027#        537#
 89   53  142 I     141941166.595       5.300
 88   54  142 Xe    141929973.095       2.900
 87   55  142 Cs    141924299.514       7.586
 86   56  142 Ba    141916432.904       6.355
 85   57  142 La    141914090.760       6.748
 84   58  142 Ce    141909250.208       2.623
 83   59  142 Pr    141910051.640       1.607
 82   60  142 Nd    141907728.824       1.348
 81   61  142 Pm    141912890.982      25.330
 80   62  142 Sm    141915209.415       2.002
 79   63  142 Eu    141923446.719      32.268
 78   64  142 Gd    141928116.000      30.000
 77   65  142 Tb    141939280.858     752.079
 76   66  142 Dy    141946194#        782#
 75   67  142 Ho    141960010#        430#
 74   68  142 Er    141970016#        537#
 91   52  143 Te    142956489#        537#
 90   53  143 I     142945475#        215#
 89   54  143 Xe    142935369.550       5.000
 88   55  143 Cs    142927347.346       8.130
 87   56  143 Ba    142920625.149       7.253
 86   57  143 La    142916079.482       7.868
 85   58  143 Ce    142912391.953       2.621
 84   59  143 Pr    142910822.624       1.949
 83   60  143 Nd    142909819.815       1.347
 82   61  143 Pm    142910938.068       3.160
 81   62  143 Sm    142914634.848       2.951
 80   63  143 Eu    142920298.678      11.793
 79   64  143 Gd    142926750.678     215.032
 78   65  143 Tb    142935137.332      55.000
 77   66  143 Dy    142943994.332      14.000
 76   67  143 Ho    142954860#        320#
 75   68  143 Er    142966548#        429#
 92   52  144 Te    143961116#        322#
 91   53  144 I     143951336#        429#
 90   54  144 Xe    143938945.076       5.700
 89   55  144 Cs    143932075.402      21.612
 88   56  144 Ba    143922954.821       7.661
 87   57  144 La    143919645.589      13.888
 86   58  144 Ce    143913652.763       3.041
 85   59  144 Pr    143913310.682       2.907
 84   60  144 Nd    143910092.798       1.346
 83   61  144 Pm    143912596.208       3.126
 82   62  144 Sm    143912006.285       1.566
 81   63  144 Eu    143918819.481      11.580
 80   64  144 Gd    143922963.000      30.000
 79   65  144 Tb    143933045.000      30.000
 78   66  144 Dy    143939269.512       7.700
 77   67  144 Ho    143952109.712       9.100
 76   68  144 Er    143960700#        210#
 75   69  144 Tm    143976211#        429#
 93   52  145 Te    144967783#        322#
 92   53  145 I     144955845#        537#
 91   54  145 Xe    144944719.631      12.000
 90   55  145 Cs    144935528.927       9.733
 89   56  145 Ba    144927518.400       9.100
 88   57  145 La    144921808.065      13.170
 87   58  145 Ce    144917265.113      36.393
 86   59  145 Pr    144914517.987       7.674
 85   60  145 Nd    144912579.151       1.364
 84   61  145 Pm    144912755.748       3.011
 83   62  145 Sm    144913417.157       1.594
 82   63  145 Eu    144916272.659       3.285
 81   64  145 Gd    144921710.051      21.165
 80   65  145 Tb    144928717.001     119.051
 79   66  145 Dy    144937473.992       7.000
 78   67  145 Ho    144947267.392       8.000
 77   68  145 Er    144957874#        215#
 76   69  145 Tm    144970389#        210#
 93   53  146 I     145961846#        322#
 92   54  146 Xe    145948518.245      26.000
 91   55  146 Cs    145940621.867       3.106
 90   56  146 Ba    145930363.200       1.900
 89   57  146 La    145925688.017       1.797
 88   58  146 Ce    145918812.294      15.743
 87   59  146 Pr    145917687.630      36.882
 86   60  146 Nd    145913122.459       1.366
 85   61  146 Pm    145914702.240       4.589
 84   62  146 Sm    145913046.835       3.269
 83   63  146 Eu    145917210.852       6.451
 82   64  146 Gd    145918318.513       4.376
 81   65  146 Tb    145927252.739      48.159
 80   66  146 Dy    145932844.526       7.187
 79   67  146 Ho    145944993.503       7.071
 78   68  146 Er    145952418.357       7.197
 77   69  146 Tm    145966661#        215#
 94   53  147 I     146966505#        322#
 93   54  147 Xe    146954482#        215#
 92   55  147 Cs    146944261.512       9.000
 91   56  147 Ba    146935303.900      21.200
 90   57  147 La    146928417.800      11.500
 89   58  147 Ce    146922689.900       9.211
 88   59  147 Pr    146919007.438      17.020
 87   60  147 Nd    146916105.969       1.368
 86   61  147 Pm    146915144.944       1.382
 85   62  147 Sm    146914904.401       1.354
 84   63  147 Eu    146916752.440       2.758
 83   64  147 Gd    146919101.014       2.025
 82   65  147 Tb    146924054.620       8.691
 81   66  147 Dy    146931082.712       9.500
 80   67  147 Ho    146940142.293       5.368
 79   68  147 Er    146949964.456      41.000
 78   69  147 Tm    146961379.887       7.341
 94   54  148 Xe    147958508#        322#
 93   55  148 Cs    147949639.026      14.000
 92   56  148 Ba    147938223.000       1.600
 91   57  148 La    147932679.400      20.900
 90   58  148 Ce    147924424.186      12.017
 89   59  148 Pr    147922129.992      16.147
 88   60  148 Nd    147916899.027       2.203
 87   61  148 Pm    147917481.091       6.108
 86   62  148 Sm    147914829.233       1.337
 85   63  148 Eu    147918091.288      10.693
 84   64  148 Gd    147918121.414       1.566
 83   65  148 Tb    147924275.476      13.379
 82   66  148 Dy    147927149.944       9.365
 81   67  148 Ho    147937743.925      90.000
 80   68  148 Er    147944735.026      11.000
 79   69  148 Tm    147958384.026      11.000
 78   70  148 Yb    147967547#        429#
 95   54  149 Xe    148964573#        322#
 94   55  149 Cs    148953516#        429#
 93   56  149 Ba    148943284.000       2.700
 92   57  149 La    148935351.259     214.990
 91   58  149 Ce    148928426.900      11.000
 90   59  149 Pr    148923736.100      10.600
 89   60  149 Nd    148920154.583       2.205
 88   61  149 Pm    148918341.507       2.344
 87   62  149 Sm    148917191.211       1.241
 86   63  149 Eu    148917936.875       4.190
 85   64  149 Gd    148919347.666       3.553
 84   65  149 Tb    148923253.792       3.895
 83   66  149 Dy    148927327.516       9.858
 82   67  149 Ho    148933820.457      12.866
 81   68  149 Er    148942306.000      30.000
 80   69  149 Tm    148952828#        215#
 79   70  149 Yb    148964219#        322#
 96   54  150 Xe    149968878#        322#
 95   55  150 Cs    149959023#        429#
 94   56  150 Ba    149946441.100       6.100
 93   57  150 La    149939547.500       2.700
 92   58  150 Ce    149930384.032      12.556
 91   59  150 Pr    149926676.391       9.677
 90   60  150 Nd    149920901.322       1.211
 89   61  150 Pm    149920990.014      21.504
 88   62  150 Sm    149917281.993       1.193
 87   63  150 Eu    149919707.092       6.688
 86   64  150 Gd    149918663.949       6.500
 85   65  150 Tb    149923664.799       7.912
 84   66  150 Dy    149925593.068       4.636
 83   67  150 Ho    149933498.353      15.209
 82   68  150 Er    149937915.524      18.458
 81   69  150 Tm    149950090#        210#
 80   70  150 Yb    149958314#        322#
 79   71  150 Lu    149973407#        322#
 96   55  151 Cs    150963199#        537#
 95   56  151 Ba    150951755#        429#
 94   57  151 La    150942769.000     467.500
 93   58  151 Ce    150934272.200      19.000
 92   59  151 Pr    150928309.066      12.506
 91   60  151 Nd    150923839.363       1.215
 90   61  151 Pm    150921216.613       4.949
 89   62  151 Sm    150919938.859       1.191
 88   63  151 Eu    150919856.606       1.251
 87   64  151 Gd    150920354.922       3.212
 86   65  151 Tb    150923108.970       4.395
 85   66  151 Dy    150926191.279       3.486
 84   67  151 Ho    150931698.176       8.908
 83   68  151 Er    150937448.567      17.681
 82   69  151 Tm    150945494.433      20.799
 81   70  151 Yb    150955402.453     322.591
 80   71  151 Lu    150967471#        322#
 97   55  152 Cs    151968728#        537#
 96   56  152 Ba    151955330#        429#
 95   57  152 La    151947085#        322#
 94   58  152 Ce    151936682#        215#
 93   59  152 Pr    151931552.900      19.900
 92   60  152 Nd    151924691.242      26.276
 91   61  152 Pm    151923505.185      27.809
 90   62  152 Sm    151919738.646       1.090
 89   63  152 Eu    151921750.980       1.252
 88   64  152 Gd    151919798.414       1.081
 87   65  152 Tb    151924081.855      42.955
 86   66  152 Dy    151924725.274       4.930
 85   67  152 Ho    151931717.618      13.449
 84   68  152 Er    151935050.347       9.478
 83   69  152 Tm    151944476.000      58.000
 82   70  152 Yb    151950326.699     160.718
 81   71  152 Lu    151964120#        210#
 97   56  153 Ba    152960848#        429#
 96   57  153 La    152950553#        322#
 95   58  153 Ce    152941052#        215#
 94   59  153 Pr    152933903.511      12.755
 93   60  153 Nd    152927717.868       2.949
 92   61  153 Pm    152924156.252       9.729
 91   62  153 Sm    152922103.576       1.100
 90   63  153 Eu    152921236.789       1.257
 89   64  153 Gd    152921756.945       1.075
 88   65  153 Tb    152923441.694       4.237
 87   66  153 Dy    152925771.729       4.295
 86   67  153 Ho    152930206.671       5.438
 85   68  153 Er    152935086.350       9.967
 84   69  153 Tm    152942058.023      12.860
 83   70  153 Yb    152949372#        215#
 82   71  153 Lu    152958802.248     161.050
 81   72  153 Hf    152970692#        322#
 98   56  154 Ba    153964659#        537#
 97   57  154 La    153955416#        322#
 96   58  154 Ce    153943940#        215#
 95   59  154 Pr    153937885.165     107.360
 94   60  154 Nd    153929597.404       1.100
 93   61  154 Pm    153926712.791      26.861
 92   62  154 Sm    153922215.756       1.400
 91   63  154 Eu    153922985.699       1.275
 90   64  154 Gd    153920872.974       1.066
 89   65  154 Tb    153924683.681      48.641
 88   66  154 Dy    153924428.920       7.977
 87   67  154 Ho    153930606.776       8.820
 86   68  154 Er    153932790.799       5.325
 85   69  154 Tm    153941570.062      15.471
 84   70  154 Yb    153946395.696      18.551
 83   71  154 Lu    153957416#        216#
 82   72  154 Hf    153964863#        322#
 98   57  155 La    154959280#        429#
 97   58  155 Ce    154948706#        322#
 96   59  155 Pr    154940509.193      18.462
 95   60  155 Nd    154933135.598       9.826
 94   61  155 Pm    154928136.951       5.065
 93   62  155 Sm    154924646.645       1.429
 92   63  155 Eu    154922899.847       1.343
 91   64  155 Gd    154922629.356       1.055
 90   65  155 Tb    154923509.511      10.552
 89   66  155 Dy    154925758.049      10.354
 88   67  155 Ho    154929103.363      18.754
 87   68  155 Er    154933215.710       6.520
 86   69  155 Tm    154939209.576      10.651
 85   70  155 Yb    154945783.216      17.820
 84   71  155 Lu    154954326.005      20.660
 83   72  155 Hf    154963167#        322#
 82   73  155 Ta    154974248#        322#
 99   57  156 La    155964519#        429#
 98   58  156 Ce    155951884#        322#
 97   59  156 Pr    155944766.900       1.100
 96   60  156 Nd    155935370.358       1.400
 95   61  156 Pm    155931114.059       1.275
 94   62  156 Sm    155925538.191       9.148
 93   63  156 Eu    155924762.976       3.791
 92   64  156 Gd    155922130.120       1.054
 91   65  156 Tb    155924754.209       4.044
 90   66  156 Dy    155924283.593       1.060
 89   67  156 Ho    155929641.634      41.249
 88   68  156 Er    155931065.926      26.440
 87   69  156 Tm    155938985.746      15.328
 86   70  156 Yb    155942817.096       9.992
 85   71  156 Lu    155953086.606      58.102
 84   72  156 Hf    155959399.083     160.752
 83   73  156 Ta    155972087#        322#
100   57  157 La    156968792#        322#
 99   58  157 Ce    156957133#        429#
 98   59  157 Pr    156948003.100       3.400
 97   60  157 Nd    156939351.074       2.294
 96   61  157 Pm    156933121.298       7.521
 95   62  157 Sm    156928418.598       4.759
 94   63  157 Eu    156925432.556       4.545
 93   64  157 Gd    156923967.424       1.048
